sci_name,common_name,birds
smilax herbacea,smooth carrion-flower,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
monarda punctata,spotted beebalm,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
geranium maculatum,spotted crane's-bill,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
impatiens capensis,spotted touch-me-not,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Hummingbirds, Mockingbirds & Thrashers, Orioles, Sparrows, Vireos, Waxwings, Wood Warblers, Woodpeckers"
silene caroliniana,sticky catchfly,"Mockingbirds & Thrashers, Orioles, Sparrows, Vireos, Waxwings, Wood Warblers"
galium aparine,sticky-willy,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
solidago altissima,tall goldenrod,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
viola palmata,three-lobe violet,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
amaranthus cannabinus,tidal-marsh amaranth,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
rumex fueginus,tierra del fuego dock,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
rumex triangulivalvis,triangular-valved dock,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
pycnanthemum virginianum,virginia mountain-mint,"Mockingbirds & Thrashers, Orioles, Sparrows, Vireos, Waxwings, Wood Warblers"
claytonia virginica,virginia springbeauty,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
symphyotrichum urophyllum,white arrow american-aster,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Nuthatches, Sparrows, Woodpeckers"
actaea pachypoda,white baneberry,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
solidago bicolor,white goldenrod,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
symphyotrichum ericoides,white heath american-aster,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
symphyotrichum pilosum,white oldfield american-aster,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Nuthatches, Sparrows, Woodpeckers"
symphyotrichum lanceolatum,white panicled american-aster,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
ageratina altissima,white snakeroot,"Mockingbirds & Thrashers, Orioles, Sparrows, Vireos, Waxwings, Wood Warblers"
verbena urticifolia,white vervain,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Hummingbirds, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
commelina erecta,white-mouth dayflower,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
asclepias verticillata,whorled milkweed,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
silene stellata,widow's-frill,"Mockingbirds & Thrashers, Orioles, Sparrows, Vireos, Waxwings, Wood Warblers"
lithospermum virginianum,wild job's-tears,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
symphyotrichum praealtum,willow-leaf american-aster,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
solidago caesia,wreath goldenrod,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
solidago rugosa,wrinkle-leaf goldenrod,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
solidago flexicaulis,zigzag goldenrod,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
spartina cynosuroides,big cord grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
panicum capillare,common panic grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Nuthatches, Sparrows, Woodpeckers"
tripsacum dactyloides,eastern mock grama,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Nuthatches, Sparrows, Woodpeckers"
panicum dichotomiflorum,fall panic grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
glyceria striata,fowl manna grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
spartina pectinata,freshwater cord grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Nuthatches, Sparrows, Woodpeckers"
sporobolus compositus,head-like dropseed,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
setaria parviflora,marsh bristle grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
schoenoplectus novae-angliae,new england club-rush,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
muhlenbergia schreberi,nimblewill,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
danthonia spicata,poverty wild oat grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
triplasis purpurea,purple sand grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
echinochloa muricata,rough barnyard grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
schoenoplectus maritimus,saltmarsh club-rush,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
spartina alterniflora,saltwater cord grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
cenchrus tribuloides,sand-dune sandburr,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
triglochin maritima,seaside arrow-grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
schoenoplectus robustus,seaside club-rush,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
sphenopholis nitida,shiny wedgescale,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
paspalum setaceum,slender crown grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
sphenopholis intermedia,slender wedgescale,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
sphenopholis pensylvanica,swamp wedgescale,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
tridens flavus,tall redtop,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
schoenoplectus pungens,three-square,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
panicum virgatum,wand panic grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Nuthatches, Sparrows, Woodpeckers"
leersia virginica,white grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Sparrows, Woodpeckers"
sorghastrum nutans,yellow indian grass,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Nuthatches, Sparrows, Woodpeckers"
celastrus scandens,american bittersweet,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
menispermum canadense,canadian moonseed,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
vitis labrusca,fox grape,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
vitis vulpina,frost grape,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
vitis riparia,river-bank grape,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
vitis aestivalis,summer grape,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
lonicera sempervirens,trumpet honeysuckle,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Hummingbirds, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
parthenocissus quinquefolia,virginia-creeper,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
castanea dentata,american chestnut,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
ulmus americana,american elm,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
carpinus caroliniana,american hornbeam,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
larix laricina,american larch,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
platanus occidentalis,american sycamore,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
acer negundo,ash-leaf maple,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
chamaecyparis thyoides,atlantic white-cedar,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
carya cordiformis,bitter-nut hickory,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
prunus serotina,black cherry,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
juglans nigra,black walnut,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
salix nigra,black willow,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
quercus montana,chestnut oak,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
celtis occidentalis,common hackberry,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
diospyros virginiana,common persimmon,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
thuja occidentalis,eastern arborvitae,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
populus deltoides,eastern cottonwood,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
tsuga canadensis,eastern hemlock,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
ostrya virginiana,eastern hop-hornbeam,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
juniperus virginiana,eastern red-cedar,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
pinus strobus,eastern white pine,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
cornus florida,flowering dogwood,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
fraxinus pennsylvanica,green ash,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
carya tomentosa,mockernut hickory,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
quercus rubra,northern red oak,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
quercus alba,northern white oak,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
carya glabra,pignut hickory,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
quercus palustris,pin oak,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
pinus rigida,pitch pine,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
populus tremuloides,quaking aspen,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
acer rubrum,red maple,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
morus rubra,red mulberry,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
pinus resinosa,red pine,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
sassafras albidum,sassafras,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
carya ovata,shag-bark hickory,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
acer saccharinum,silver maple,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
liquidambar styraciflua,sweet-gum,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
liriodendron tulipifera,tuliptree,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Hummingbirds, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
fraxinus americana,white ash,"Cardinals & Grosbeaks, Chickadees & Titmice, Crows & Jays, Finches, Mockingbirds & Thrashers, Nuthatches, Orioles, Sparrows, Thrushes, Vireos, Waxwings, Wood Warblers, Woodpeckers, Wrens"
