common_name,sci_name,usda_symbol,usda_link,use_cat,all_use_link,use_note,use_source
Common Sheep Sorrel,rumex acetosella,RUAC3,http://plants.usda.gov/java/profile?symbol=RUAC3,"Delaware Food, Unspecified",http://naeb.brit.org/uses/species/3480/,Plant used as filling for pies.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 59"
Curly Dock,rumex crispus,RUCRC,http://plants.usda.gov/java/profile?symbol=RUCRC,"Blood Medicine, Liver Aid ",http://naeb.brit.org/uses/species/3485/,Root used as a blood purifier. Root used for jaundice. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 33"
Bitter Dock,rumex obtusifolius,RUOB,http://plants.usda.gov/java/profile?symbol=RUOB,"Blood Medicine, Liver Aid ",http://naeb.brit.org/uses/species/3489/,Root used as a blood purifier. Root used for jaundice. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 33"
Prairie Willow,salix humilis,SAHUH,http://plants.usda.gov/java/profile?symbol=SAHUH,Venereal Aid,http://naeb.brit.org/uses/species/3532/,Infusion of roots and other plants used for scrofula and venereal disease.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 34"
Prairie Willow,salix humilis,SAHUT,http://plants.usda.gov/java/profile?symbol=SAHUT,"Reproductive Aid, Venereal Aid ",http://naeb.brit.org/uses/species/3533/,Infusion of roots used by women for displacement of the womb. Infusion of plant and roots of other plants used for scrofula and venereal disease. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 34"
American Elder,sambucus nigra ssp. Canadensis,SANIC4,http://plants.usda.gov/java/profile?symbol=SANIC4,"Blood Medicine, Dermatological Aid, Liver Aid, Pediatric Aid ",http://naeb.brit.org/uses/species/3566/,"Leaves and stems used as a blood purifier. Poultice of bark scrapings applied to sores, swellings and wounds. Leaves and stems used for jaundice. Infusion of flowers used for infants with colic. ","Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 31"
Bloodroot,sanguinaria canadensis,SACA13,http://plants.usda.gov/java/profile?symbol=SACA13,"Gastrointestinal Aid, Strengthener, Ceremonial Items",http://naeb.brit.org/uses/species/3572/,Combined with other roots and used as a stomach remedy. Pea sized piece of roots taken every morning for thirty days for general debility. Roots used to make the face paint for the Big House Ceremony. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 38"
Sassafras,sassafras albidum,SAAL5,http://plants.usda.gov/java/profile?symbol=SAAL5,Blood Medicine,http://naeb.brit.org/uses/species/3589/,Root bark used as a blood purifier.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 30"
Marsh Skullcap,scutellaria galericulata,SCGA,http://plants.usda.gov/java/profile?symbol=SCGA,"Gastrointestinal Aid, Laxative ",http://naeb.brit.org/uses/species/3624/,Plant tops used as a stomach stimulant. Plant tops used as a laxative. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 37"
Early Goldenrod,solidago juncea,SOJU,http://plants.usda.gov/java/profile?symbol=SOJU,"Antidiarrheal, Febrifuge ",http://naeb.brit.org/uses/species/3737/,Infusion of green leaves used or green leaves chewed for diarrhea. Infusion of green leaves used or green leaves chewed for fever. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 33"
Marsh Hedgenettle,stachys palustris,STPA,http://plants.usda.gov/java/profile?symbol=STPA,Venereal Aid,http://naeb.brit.org/uses/species/3815/,"Used with common nightshade, 'pretty flower' and button snakeroot for venereal disease.","Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 35"
Skunk Cabbage,symplocarpus foetidus,SYFO,http://plants.usda.gov/java/profile?symbol=SYFO,"Analgesic, Misc. Disease Remedy, Pulmonary Aid ",http://naeb.brit.org/uses/species/3880/,Poultice of crushed leaves applied for pain. Small portions of leaves chewed for epilepsy. Infusion of roots used for whooping cough. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 37"
Common Dandelion,taraxacum officinale,TAOFO,http://plants.usda.gov/java/profile?symbol=TAOFO,Laxative,http://naeb.brit.org/uses/species/3894/,Plant used to make a laxative-tonic.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 39"
Atlantic Poison Oak,toxicodendron pubescens,TOPU2,http://plants.usda.gov/java/profile?symbol=TOPU2,Unspecified,http://naeb.brit.org/uses/species/3973/,"Poultice of roasted, crushed roots regarded as medicinally valuable.","Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 33"
Eastern Hemlock,tsuga canadensis,TSCA,http://plants.usda.gov/java/profile?symbol=TSCA,Antirheumatic (External),http://naeb.brit.org/uses/species/4041/,Hot infusion of roots or twigs used as a steam treatment for muscular swellings and stiff joints.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 36"
Broadleaf Cattail,typha latifolia,TYLA,http://plants.usda.gov/java/profile?symbol=TYLA,Kidney Aid,http://naeb.brit.org/uses/species/4049/,Roots used for kidney stones.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 36"
American Elm,ulmus americana,ULAM,http://plants.usda.gov/java/profile?symbol=ULAM,"Cold Remedy, Cough Medicine ",http://naeb.brit.org/uses/species/4051/,Infusion of inner bark used for colds. Infusion of inner bark used for severe coughs. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 31"
Common Mullein,verbascum thapsus,VETH,http://plants.usda.gov/java/profile?symbol=VETH,"Antirheumatic (External), Cough Medicine, Pulmonary Aid, Respiratory Aid ",http://naeb.brit.org/uses/species/4106/,"Poultice of heated leaves applied to the joints and body for rheumatism pain and swelling. Leaves combined with coltsfoot, plum root and glycerine and used as a syrup for coughs. Leaves combined with coltsfoot, plum root and glycerine and used as a syrup for lung trouble. Leaves combined with coltsfoot, plum root and glycerine and used as a syrup for catarrh. ","Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 36"
Blackhaw,viburnum prunifolium,VIPR,http://plants.usda.gov/java/profile?symbol=VIPR,Reproductive Aid,http://naeb.brit.org/uses/species/4136/,Root bark combined with leaves of other plants and used to strengthen female generative organs.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 31"
Sand Grape,vitis rupestris scheele,VIRU2,http://plants.usda.gov/java/profile?symbol=VIRU2,"Reproductive Aid, Strengthener ",http://naeb.brit.org/uses/species/4180/,Vine mixed with other plants and used to increase fertility. Vine mixed with other plants and used as a tonic for frail women. ,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 31"
Common Pricklyash,zanthoxylum americanum,ZAAM,http://plants.usda.gov/java/profile?symbol=ZAAM,Heart Medicine,http://naeb.brit.org/uses/species/4241/,Infusion of inner bark used for heart trouble.,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 35"
Corn,zea mays,ZEMAM2,http://plants.usda.gov/java/profile?symbol=ZEMAM2,"Bread & Cake, Dried Food, Porridge, Soup, Staple, Unspecified, Ceremonial Items",http://naeb.brit.org/uses/species/4244/,"Dry, unparched corn made into flour and used to make bread. Ears boiled, cooled, the grains dried and used for food. Ears sun dried, grains pounded into hominy grits and used for food. Dried corn boiled in alkaline liquid and hulls combined with fresh or dried meat for stew. Used as the staple vegetable food to provide nourishment for the soul and the body. Dried corn boiled in alkaline liquid and hulls eaten with milk and sugar or fried with potatoes. Ears roasted and used for food. Used in the ceremonial diet of the participants of the Big House Ceremony. ","Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3, page 55"
